product_name,price,year_mileage,location
Mitsubishi Pajero Sport,Rp 412.500.000,2018 - 140.000-145.000 km,Tanjung Duren09 Okt
Toyota Calya,Rp 115.000.000,2018 - 30.000-35.000 km,Kebon Jeruk2 hari yang lalu
Toyota Raize,Rp 199.500.000,2021 - 35.000-40.000 km,Pantai Indah Kapuk6 hari yang lalu
Mitsubishi Xpander,Rp 223.000.000,2019 - 80.000-85.000 km,Pasar Minggu2 hari yang lalu
Toyota Agya,Rp 105.000.000,2016 - 15.000-20.000 km,Jagakarsa6 hari yang lalu
Honda CR-V,Rp 219.000.000,2015 - 55.000-60.000 km,Kebon JerukHari ini
Honda HR-V,Rp 210.000.000,2017 - 115.000-120.000 km,Cipayung04 Des
Honda HR-V,Rp 218.000.000,2018 - 80.000-85.000 km,CakungKemarin
Hyundai Creta,Rp 250.000.000,2022 - 5.000-10.000 km,Grogol PetamburanHari ini
Toyota Calya,Rp 97.000.000,2016 - 90.000-95.000 km,Pasar MingguHari ini
Toyota Calya,Rp 97.000.000,2016 - 90.000-95.000 km,Kebayoran LamaHari ini
Toyota Calya,Rp 97.000.000,2016 - 90.000-95.000 km,Grogol PetamburanHari ini
Toyota Calya,Rp 97.000.000,2016 - 90.000-95.000 km,CengkarengHari ini
Mazda 2,Rp 118.000.000,2013 - 60.000-65.000 km,Jakarta SelatanHari ini
Nissan Elgrand,Rp 270.000.000,2013 - 70.000-75.000 km,Jakarta SelatanHari ini
Honda Brio,Rp 180.000.000,2021 - 20.000-25.000 km,Tanjung BaratHari ini
Honda Brio,Rp 180.000.000,2021 - 20.000-25.000 km,PekayonHari ini
Honda Brio,Rp 180.000.000,2021 - 20.000-25.000 km,Pantai Indah KapukHari ini
Honda Brio,Rp 180.000.000,2021 - 20.000-25.000 km,KemangHari ini
Honda Brio,Rp 110.000.000,2018 - 60.000-65.000 km,Ciracas4 hari yang lalu
Nissan Serena,Rp 208.000.000,2017 - 85.000-90.000 km,KemangHari ini
Toyota Yaris,Rp 115.000.000,2012 - 130.000-135.000 km,Tebet6 hari yang lalu
Nissan Livina,Rp 191.000.000,2019 - 35.000-40.000 km,Cibubur3 hari yang lalu
Suzuki Baleno,Rp 153.000.000,2019 - 35.000-40.000 km,Pademangan4 hari yang lalu
Mitsubishi Xpander,Rp 220.000.000,2019 - 65.000-70.000 km,Cempaka PutihHari ini
Honda HR-V,Rp 200.000.000,2016 - 65.000-70.000 km,Kebayoran Lama3 hari yang lalu
Honda HR-V,Rp 160.000.000,2017 - 85.000-90.000 km,Pasar Minggu07 Des
Honda Brio,Rp 180.000.000,2021 - 20.000-25.000 km,Duren SawitHari ini
Honda Brio,Rp 180.000.000,2021 - 20.000-25.000 km,PesanggrahanHari ini
Honda Brio,Rp 180.000.000,2021 - 20.000-25.000 km,PancoranHari ini
Honda Brio,Rp 180.000.000,2021 - 20.000-25.000 km,Kebayoran LamaHari ini
Honda Brio,Rp 180.000.000,2021 - 20.000-25.000 km,Tanah AbangHari ini
Honda Brio,Rp 180.000.000,2021 - 20.000-25.000 km,Grogol PetamburanHari ini
Honda Brio,Rp 180.000.000,2021 - 20.000-25.000 km,CengkarengHari ini
Suzuki Ignis,Rp 138.000.000,2018 - 35.000-40.000 km,Grogol PetamburanHari ini
Daihatsu Ayla,Rp 139.000.000,2022 - 5.000-10.000 km,KemayoranHari ini
Land Rover Defender,Rp 1.999.000.000,2020 - 40.000-45.000 km,CilandakHari ini
Smart Fortwo,Rp 199.000.000,2013 - 15.000-20.000 km,KemayoranHari ini
Toyota Fortuner,Rp 450.000.000,2021 - 30.000-35.000 km,KemayoranHari ini
Toyota Sienta,Rp 133.000.000,2017 - 45.000-50.000 km,Kemayoran23 Nov
Nissan X-Trail,Rp 210.000.000,2017 - 105.000-110.000 km,Kebon Jeruk15 Sep
Toyota Yaris,Rp 157.000.000,2017 - 65.000-70.000 km,Kelapa Gading4 hari yang lalu
Honda Brio Satya,Rp 111.000.000,2018 - 45.000-50.000 km,Tambora12 Des
